fyrnr,page_number,problem
673431,624,No sector number for sector green (0.0 - 360.0)
673433,624,No sector number for sector green (0.0 - 360.0)
674125,625,No sector number for sector green (0.0 - 360.0)
674230,625,No sector number for sector white (0.0 - 360.0)
674965,625,No sector number for sector green (0.0 - 360.0)
674970,625,No sector number for sector white (0.0 - 360.0)
674972,625,No sector number for sector red (0.0 - 360.0)
675001,625,No sector number for sector green (0.0 - 360.0)
675080,625,No sector number for sector white (0.0 - 360.0)
675083,626,No sector number for sector green (0.0 - 360.0)
675204,626,No sector number for sector red (0.0 - 360.0)
675210,626,No sector number for sector white (0.0 - 360.0)
675212,626,No sector number for sector red (0.0 - 360.0)
675215,626,No sector number for sector green (0.0 - 360.0)
675962,626,No sector number for sector red (0.0 - 360.0)
676514,627,No sector number for sector red (0.0 - 360.0)
679520,629,No sector number for sector white (0.0 - 360.0)
679522,629,No sector number for sector red (0.0 - 360.0)
679612,629,No sector number for sector red (0.0 - 360.0)
679803,630,No sector number for sector green (0.0 - 360.0)
679820,630,No sector number for sector white (0.0 - 360.0)
679823,630,No sector number for sector green (0.0 - 360.0)
680001,630,No sector number for sector green (0.0 - 360.0)
680504,631,No sector number for sector red (0.0 - 360.0)
680507,631,No sector number for sector green (0.0 - 360.0)
680900,631,No sector number for sector white (0.0 - 360.0)
680902,631,No sector number for sector red (0.0 - 360.0)
694200,642,No sector number for sector green (0.0 - 360.0)
700500,646,Gap in sector numbering. Missing sector number 10
700500,646,Non sequential sector has a non-continuous angle. 217.3 != 240.8
709301,655,No sector number for sector green (0.0 - 360.0)
724003,665,No sector number for sector green (0.0 - 360.0)
724005,665,No sector number for sector green (0.0 - 360.0)
724007,665,No sector number for sector green (0.0 - 360.0)
7297CP,668,No sector number for sector red (0.0 - 360.0)
7300AP,668,No sector number for sector red (0.0 - 360.0)
7300BP,669,No sector number for sector red (0.0 - 360.0)
735500,671,Gap in sector numbering. Missing sector number 1
735500,671,Gap in sector numbering. Missing sector number 2
738600,672,Gap in sector numbering. Missing sector number 5
738600,672,Gap in sector numbering. Missing sector number 7
738600,672,Non sequential sector has a non-continuous angle. 158.7 != 161.1
738600,672,Non sequential sector has a non-continuous angle. 209.5 != 214.1
738700,672,No sector number for sector red (0.0 - 360.0)
739400,673,Gap in sector numbering. Missing sector number 3
739400,673,Non sequential sector has a non-continuous angle. 350.2 != 353.7
747000,679,Gap in sector numbering. Missing sector number 6
747000,679,Non sequential sector has a non-continuous angle. 117.5 != 120.7
747500,679,Gap in sector numbering. Missing sector number 2
747500,679,Non sequential sector has a non-continuous angle. 193.5 != 194.0
750401,682,No sector number for sector green (0.0 - 360.0)
750601,682,No sector number for sector green (0.0 - 360.0)
757140,690,No sector number for sector white (0.0 - 360.0)
757802,690,No sector number for sector red (2.6 - 10.6)
757804,690,No sector number for sector red (2.6 - 10.6)
759700,693,Gap in sector numbering. Missing sector number 1
768101,700,No sector number for sector green (345.7 - 170.0)
768302,701,No sector number for sector red (0.0 - 360.0)
770605,703,No sector number for sector green (0.0 - 360.0)
770606,704,No sector number for sector red (0.0 - 360.0)
771235,704,No sector number for sector green (0.0 - 360.0)
771240,704,No sector number for sector white (0.0 - 360.0)
779200,712,Gap in sector numbering. Missing sector number 3
779200,712,Non sequential sector has a non-continuous angle. 140.8 != 71.7
785501,715,No sector number for sector green (0.0 - 360.0)
785502,715,No sector number for sector red (0.0 - 360.0)
794002,720,No sector number for sector red (0.0 - 360.0)
800010,723,No sector number for sector white (0.0 - 360.0)
803102,726,No sector number for sector red (0.0 - 360.0)
803103,727,No sector number for sector green (0.0 - 360.0)
807801,730,No sector number for sector green (0.0 - 360.0)
807802,730,No sector number for sector red (0.0 - 360.0)
807803,731,No sector number for sector green (0.0 - 360.0)
812703,735,No sector number for sector green (0.0 - 360.0)
814205,736,No sector number for sector green (0.0 - 360.0)
814704,736,No sector number for sector red (0.0 - 360.0)
816517,737,No sector number for sector green (0.0 - 360.0)
819700,739,No sector number for sector green (0.0 - 360.0)
823708,744,No sector number for sector red (0.0 - 360.0)
825010,745,No sector number for sector white (0.0 - 360.0)
825303,746,No sector number for sector green (0.0 - 360.0)
825802,746,No sector number for sector red (0.0 - 360.0)
834500,755,No sector number for sector white (0.0 - 360.0)
835102,757,Gap in sector numbering. Missing sector number 2
835102,757,Non sequential sector has a non-continuous angle. 360.0 != 0.0
835401,757,No sector number for sector green (0.0 - 360.0)
8356CP,758,No sector number for sector green (0.0 - 360.0)
8360AP,758,No sector number for sector red (0.0 - 360.0)
8360BP,758,No sector number for sector red (0.0 - 360.0)
850600,765,No sector number for sector red (0.0 - 360.0)
859000,771,Gap in sector numbering. Missing sector number 2
859000,771,Gap in sector numbering. Missing sector number 3
859000,771,Non sequential sector has a non-continuous angle. 2.5 != 63.1
862500,774,Gap in sector numbering. Missing sector number 8
862500,774,Gap in sector numbering. Missing sector number 7
862500,774,Non sequential sector has a non-continuous angle. 270.0 != 305.2
863837,775,No sector number for sector green (0.0 - 360.0)
872900,781,Gap in sector numbering. Missing sector number 5
872900,781,Non sequential sector has a non-continuous angle. 308.7 != 58.3
875500,783,Gap in sector numbering. Missing sector number 2
875500,783,Gap in sector numbering. Missing sector number 3
875500,783,Non sequential sector has a non-continuous angle. 266.3 != 351.4
875500,783,Non sequential sector has a non-continuous angle. 140.0 != 158.2
877000,783,Gap in sector numbering. Missing sector number 4
877000,783,Non sequential sector has a non-continuous angle. 20.3 != 31.2
8809FP,787,No sector number for sector green (0.0 - 360.0)
882000,788,Gap in sector numbering. Missing sector number 5
882000,788,Non sequential sector has a non-continuous angle. 169.6 != 178.0
900000,794,Gap in sector numbering. Missing sector number 6
900000,794,Gap in sector numbering. Missing sector number 7
900000,794,Non sequential sector has a non-continuous angle. 82.9 != 106.6
917500,807,No sector number for sector white (0.0 - 360.0)
960100,834,Gap in sector numbering. Missing sector number 1
