fyrnr,page_number,problem
120229,178,No sector number for sector green (0.0 - 360.0)
134800,197,No sector number for sector red (0.0 - 360.0)
134801,197,No sector number for sector red (0.0 - 360.0)
135001,197,No sector number for sector green (0.0 - 360.0)
135104,197,No sector number for sector red (0.0 - 360.0)
135105,197,No sector number for sector green (0.0 - 360.0)
135109,198,No sector number for sector green (0.0 - 360.0)
135411,198,No sector number for sector green (0.0 - 360.0)
140535,203,No sector number for sector green (0.0 - 360.0)
143289,209,No sector number for sector green (0.0 - 360.0)
145201,212,No sector number for sector green (0.0 - 360.0)
145202,212,No sector number for sector red (0.0 - 360.0)
145206,212,No sector number for sector red (0.0 - 360.0)
147400,214,Gap in sector numbering. Missing sector number 5
147400,214,Non sequential sector has a non-continuous angle. 183.7 != 183.4
147400,214,Non sequential sector has a non-continuous angle. 188.9 != 188.7
147534,214,No sector number for sector red (0.0 - 360.0)
147535,214,No sector number for sector green (0.0 - 360.0)
147903,215,No sector number for sector green (0.0 - 360.0)
148010,215,No sector number for sector red (0.0 - 360.0)
148711,216,No sector number for sector green (0.0 - 360.0)
148716,216,No sector number for sector white (0.0 - 360.0)
149720,219,No sector number for sector red (0.0 - 360.0)
149726,219,No sector number for sector red (0.0 - 360.0)
149727,219,No sector number for sector green (0.0 - 360.0)
149729,219,No sector number for sector green (0.0 - 360.0)
149730,219,No sector number for sector red (0.0 - 360.0)
149732,219,No sector number for sector red (0.0 - 360.0)
149734,219,No sector number for sector red (0.0 - 360.0)
150638,221,No sector number for sector red (0.0 - 360.0)
150639,221,No sector number for sector green (0.0 - 360.0)
150640,221,No sector number for sector red (0.0 - 360.0)
150748,221,No sector number for sector red (0.0 - 360.0)
150751,221,No sector number for sector white (0.0 - 360.0)
151357,222,No sector number for sector green (0.0 - 360.0)
151358,222,No sector number for sector red (0.0 - 360.0)
151359,222,No sector number for sector green (0.0 - 360.0)
155061,225,No sector number for sector green (0.0 - 360.0)
155062,225,No sector number for sector red (0.0 - 360.0)
155063,225,No sector number for sector green (0.0 - 360.0)
155164,225,No sector number for sector red (0.0 - 360.0)
155166,225,No sector number for sector red (0.0 - 360.0)
155267,225,No sector number for sector green (0.0 - 360.0)
155268,225,No sector number for sector red (0.0 - 360.0)
155670,225,No sector number for sector red (0.0 - 360.0)
156743,227,No sector number for sector green (0.0 - 360.0)
156744,227,No sector number for sector red (0.0 - 360.0)
156745,227,No sector number for sector green (0.0 - 360.0)
156752,227,No sector number for sector red (0.0 - 360.0)
156753,227,No sector number for sector white (0.0 - 360.0)
156754,227,No sector number for sector red (0.0 - 360.0)
156756,227,No sector number for sector red (0.0 - 360.0)
156757,228,No sector number for sector green (0.0 - 360.0)
156758,228,No sector number for sector red (0.0 - 360.0)
156759,228,No sector number for sector green (0.0 - 360.0)
156863,228,No sector number for sector green (0.0 - 360.0)
156864,228,No sector number for sector red (0.0 - 360.0)
156867,228,No sector number for sector green (0.0 - 360.0)
157069,229,No sector number for sector green (0.0 - 360.0)
157070,229,No sector number for sector red (0.0 - 360.0)
157071,229,No sector number for sector green (0.0 - 360.0)
157072,229,No sector number for sector red (0.0 - 360.0)
157074,229,No sector number for sector red (0.0 - 360.0)
157080,229,No sector number for sector red (0.0 - 360.0)
157081,229,No sector number for sector green (0.0 - 360.0)
157287,230,No sector number for sector green (0.0 - 360.0)
157288,230,No sector number for sector red (0.0 - 360.0)
157549,231,No sector number for sector green (0.0 - 360.0)
157551,231,No sector number for sector green (0.0 - 360.0)
158221,233,No sector number for sector green (0.0 - 360.0)
159000,234,No sector number for sector red (62.3 - 88.0)
159000,234,No sector number for sector white (88.0 - 62.3)
160301,236,No sector number for sector green (0.0 - 360.0)
160304,236,No sector number for sector red (0.0 - 360.0)
160305,236,No sector number for sector green (0.0 - 360.0)
160307,237,No sector number for sector green (0.0 - 360.0)
160308,237,No sector number for sector red (0.0 - 360.0)
160310,237,No sector number for sector red (0.0 - 360.0)
160312,237,No sector number for sector red (0.0 - 360.0)
160316,237,No sector number for sector red (0.0 - 360.0)
160317,237,No sector number for sector green (0.0 - 360.0)
160726,238,No sector number for sector red (0.0 - 360.0)
178675,255,No sector number for sector green (0.0 - 360.0)
178676,255,No sector number for sector red (0.0 - 360.0)
178777,255,No sector number for sector green (0.0 - 360.0)
178878,255,No sector number for sector red (0.0 - 360.0)
179800,255,No sector number for sector green (0.0 - 360.0)
190800,264,No sector number for sector green (0.0 - 360.0)
192500,265,No sector number for sector white (0.0 - 360.0)
1948P,267,No sector number for sector red (0.0 - 360.0)
1949P,267,No sector number for sector red (0.0 - 360.0)
210903,279,No sector number for sector green (0.0 - 360.0)
211309,279,No sector number for sector green (0.0 - 360.0)
211314,280,No sector number for sector red (0.0 - 360.0)
213200,281,No sector number for sector red (0.0 - 360.0)
213302,282,No sector number for sector red (0.0 - 360.0)
214200,283,No sector number for sector green (0.0 - 360.0)
215524,284,No sector number for sector red (0.0 - 360.0)
215525,284,No sector number for sector green (0.0 - 360.0)
215527,284,No sector number for sector green (0.0 - 360.0)
215528,284,No sector number for sector red (0.0 - 360.0)
215530,284,No sector number for sector red (0.0 - 360.0)
215531,284,No sector number for sector green (0.0 - 360.0)
215535,284,No sector number for sector green (0.0 - 360.0)
215536,284,No sector number for sector red (0.0 - 360.0)
215540,284,No sector number for sector red (0.0 - 360.0)
215541,284,No sector number for sector white (0.0 - 360.0)
215542,284,No sector number for sector red (0.0 - 360.0)
215544,285,No sector number for sector red (0.0 - 360.0)
215545,285,No sector number for sector green (0.0 - 360.0)
215546,285,No sector number for sector red (0.0 - 360.0)
215548,285,No sector number for sector white (0.0 - 360.0)
215551,285,No sector number for sector green (0.0 - 360.0)
215553,285,No sector number for sector green (0.0 - 360.0)
215554,285,No sector number for sector red (0.0 - 360.0)
215555,285,No sector number for sector green (0.0 - 360.0)
215558,285,No sector number for sector red (0.0 - 360.0)
215562,285,No sector number for sector red (0.0 - 360.0)
215563,285,No sector number for sector green (0.0 - 360.0)
215566,285,No sector number for sector red (0.0 - 360.0)
215567,285,No sector number for sector green (0.0 - 360.0)
215810,286,No sector number for sector white (0.0 - 360.0)
220042,290,No sector number for sector red (0.0 - 360.0)
220044,290,No sector number for sector red (0.0 - 360.0)
224802,295,Gap in sector numbering. Missing sector number 2
224802,295,Gap in sector numbering. Missing sector number 3
224802,295,Non sequential sector has a non-continuous angle. 238.7 != 0.0
224802,295,Non sequential sector has a non-continuous angle. 360.0 != 69.7
226607,297,No sector number for sector green (0.0 - 360.0)
226611,297,No sector number for sector green (0.0 - 360.0)
226617,297,No sector number for sector green (0.0 - 360.0)
226618,297,No sector number for sector red (0.0 - 360.0)
226623,297,No sector number for sector green (0.0 - 360.0)
226624,297,No sector number for sector red (0.0 - 360.0)
226625,297,No sector number for sector green (0.0 - 360.0)
226626,297,No sector number for sector red (0.0 - 360.0)
226627,297,No sector number for sector green (0.0 - 360.0)
226628,298,No sector number for sector red (0.0 - 360.0)
226629,298,No sector number for sector green (0.0 - 360.0)
226630,298,No sector number for sector red (0.0 - 360.0)
226632,298,No sector number for sector red (0.0 - 360.0)
226633,298,No sector number for sector green (0.0 - 360.0)
227663,299,No sector number for sector green (0.0 - 360.0)
227664,299,No sector number for sector red (0.0 - 360.0)
227665,299,No sector number for sector green (0.0 - 360.0)
228800,302,Gap in sector numbering. Missing sector number 1
228800,302,Gap in sector numbering. Missing sector number 2
228800,302,Gap in sector numbering. Missing sector number 3
229236,302,No sector number for sector red (0.0 - 360.0)
230500,303,No sector number for sector red (0.0 - 360.0)
243101,316,No sector number for sector green (0.0 - 360.0)
244700,317,No sector number for sector white (0.0 - 360.0)
247401,320,No sector number for sector white (0.0 - 360.0)
247402,320,No sector number for sector green (0.0 - 360.0)
254730,325,No sector number for sector red (0.0 - 360.0)
254737,326,No sector number for sector green (0.0 - 360.0)
261803,331,No sector number for sector green (0.0 - 360.0)
262100,331,No sector number for sector green (0.0 - 360.0)
262200,331,No sector number for sector red (0.0 - 360.0)
